comment;pageid;title;timestamp;top;userid;revid;user;parentid;ns;minor;size;new
/* Taassünd */;420736;Kasutaja:Adamsont/Nixie toru;1447851172.0;;83210;4311069;Adamsont;4311067;2;;11824;
;420032;Kasutaja arutelu:Chrloob;1447148087.0;;83531;4305341;Chrloob;4305339;3;;11769;
;417958;Kasutaja:Ehürges/Microsoft Edge;1447769402.0;;82016;4310447;Ehürges;4310446;2;;88;
Lehekülg asendatud tekstiga 'Artikkel on nüüd leitav [[Mõõtemääramatus|siit]].';419895;Kasutaja:Jmerisalu/Mõõtemääramatus;1448199578.0;;83336;4313723;Jmerisalu;4313664;2;;55;
;420009;Kasutaja:JohVainikko/Laserskanner;1448361973.0;;83466;4315273;JohVainikko;4315265;2;;7634;
K.samuel teisaldas lehekülje [[Vikipeedia arutelu:Roboti lokaliseerimine]] ümbersuunamise [[Kasutaja arutelu:K.samuel/Roboti lokaliseerimine]] asemele;419582;Kasutaja arutelu:K.samuel/Roboti lokaliseerimine;1447153422.0;;64305;4305418;K.samuel;4305411;3;;322;
Lisasin, eemaldasin ja muutsin linke.;419874;Kasutaja:KarlAllik/RoHS direktiiv;1447512351.0;;83438;4308174;KarlAllik;4308169;2;;13319;
Lehekülg asendatud tekstiga 'Artikkel on nüüd leitav [[Diffie-Hellmani võtmevahetus|siit]].';419588;Kasutaja:Lvalgma/Diffie-Hellmani võtmevahetus;1448381757.0;;82374;4315556;Lvalgma;4315351;2;;65;
Uus lehekülg: '[[File:Smart Orthotics.jpg|thumb|Jalatalla rõhu mõõtmine]] '''Inimese jalatalla rõhu mõõtesüsteem''' (IJRM) on süsteem, mida kasutatakse eelkõige jalatalla ning pind |...';420238;Inimese jalatalla rõhu mõõtesüsteem;1447323085.0;;83398;4306643;MarMartis;0;0;;14203;
;419783;Kasutaja:MargoM/IMAP;1447943918.0;;49716;4311882;MargoM;4311455;2;;13354;
/* Keemia */;48010;Viski;1448007483.0;;32843;4312273;R1stoR;4312094;0;;13386;
Uus lehekülg: '[[Pilt:H_bridge.svg|thumb|Punaselt on välja toodud H-silla skeem]]  '''H-sild on''' [[elektroonikalülitus]], mis võimaldab rakendada seadmele või koormisele pinget mõlemas s...';420717;H-sild;1447833380.0;;63629;4310902;Ragnarma;0;0;;5015;
Uus lehekülg: '[[Pilt:H_bridge.svg|thumb|Punaselt on välja toodud H-silla skeem]]  '''H-sild on''' [[elektroonikalülitus]], mis võimaldab rakendada seadmele või koormisele pinget mõlemas s...';420717;H-sild;1447833380.0;;63629;4310902;Ragnarma;0;0;;5015;
;419961;Kasutaja:SKuusemets/Linux;1448308431.0;;83497;4314754;SKuusemets;4314753;2;;18659;
